"title","content","date","variant","images","verified","author","rating","product","url"
"Life Saver","Had to order a last minute desk to work remotely due to the current world situation. Ordered this on Thursday and it went from an estimated delivery of Monday to Saturday! Perfect for what we needed it for.","21 Mar 2020","Size: 47.2"" Color: Black","https://images-na.ssl-images-amazon.com/images/I/71AZr8Jb0oL._SY88.jpg","Yes","Guerrero Clan","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"beautiful is all I can say","Update-so for fathers day my wife surprised me with the mount and second monitor. Boy is this desk a champ. Both monitors look so beautiful with the new desk, and it holds them perfectly. I even had to move the desk to change the placement of the desk, and was still light enough with everything to pick it up and move it without help(i only slid out one side, as i did not need to move the whole desk). I added 2 new pictures to show the new setup Me and the wife were looking for a white setup, and this desk was a perfect upgrade to my old one. Its a little shorter in depth, but a huge difference in width (my old desk was only 38inches wide). The desk has a very nice finish, and is very sturdy as well. My pc is pretty heavy, and with everything else, I have no creaks or anything. I do plan to eventually get a center support as I will be adding a second monitor and adding a duo desk mount (not big on wall mounting)","31 May 2020","","https://images-na.ssl-images-amazon.com/images/I/712-39qLOzL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/718nGM7D0aL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/7199q3RP0QL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71G6I6+inDL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71QviLyeIrL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71lSrsQmawL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71o32UN8cTL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71qVMZfbQhL._SY88.jpg","Yes","Irishmunky","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Updated review","For the price, I wasn't expecting a luxury item, but from the reviews, I figured it would be serviceable. This disappointed in every respect. I am skilled at assembling furniture and followed the directions exactly. When you twist the screws, the black paint of the legs chips off the openings. One screw hole was defective and you could not fasten the leg to the frame in one area, Attaching the frame to the desktop seemed simple enough but when flipping the desk over, all four metal anchors in the desktop fell out at once leaving four large gaping holes in the bottom of the desktop. It is now impossible to attach the frame to the desktop at all. I will return this or ask for a refund. Seems not even worth the postage of returning it. Update—I did return the desk but I am adding to my review. Foxemart customer service reached out to me soon after my review and offered to refund or send a replacement and said they will follow up with their manufacturer so my issues can be addressed. I appreciate their willingness to stand by their product and to be proactive in the replacement offer.  I turns out I had already found a different desk so I did not accept the replacement, but the customer service helped improve the over all experience quite a bit.","10 May 2020","Size: 39.4"" Color: Teak","","Yes","MLK37","3.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Small and Sturdy","Forced to work from home because of Covid 19. I suddenly had to come up with space for the computer equipment needed for my job. Not a lot, but I need 3 monitors to do my job efficiently. Space is at a huge premium in my condo. Had to find a desk would fit in my bedroom and only had about 4 feet of wall space to work with. Took a chance based on reviews and was very happy with when it arrived. Easy to put together and sturdy. It took maybe 15  minutes to assemble. My biggest worry was if it would support the mount I bought for the monitors. No problem. The mount holds nice and secure and I dont have to worry about the desk giving way and having my monitors come crashing down. Very happy with the purchase.","02 May 2020","Size: 47.2"" Color: Black","https://images-na.ssl-images-amazon.com/images/I/71oY8F34DtL._SY88.jpg","Yes","Dom","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"easy to assemble, lightweight","I like this desk. It was easy to put together with clear instructions (I particularly like that they labeled each bag of parts to make it clear which screw went in which hole). It's the right size for a single user. It has little stabilizing brackets along the back only, not in the front and back like the official photo shows.  It's very lightweight, with the tradeoff that it does wiggle if you push on it with a significant force. This is not a workbench. But for computer work or writing it's more than stable enough.","04 Dec 2019","Size: 47.2"" Color: Black","https://images-na.ssl-images-amazon.com/images/I/61FqTa8auaL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71gvDfDlSUL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81BwFkYvx3L._SY88.jpg","Yes","Alan Robinson","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great Computer Desk","This is an awesome computer desk. It was easy to put together and doesn't take up unnecessary space. Definitely large enough to fit a computer, small printer and school books. This is really going to help save some space in my home office.","12 Nov 2019","","https://images-na.ssl-images-amazon.com/images/I/71dE+YuSQtL._SY88.jpg","Yes","Rande","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great little desk. Great value.","Just what I was looking for: a smallish narrow table. It was pretty quick putting it together ( make sure you use the right screws in the right place or you’ll end up damaging the table like that fellow who gave a poor review because the screws pushed through the desktop). The top is nice to the touch too and the legs are nice and sturdy. Highly recommend.","26 Nov 2019","","","Yes","A. E. Dahan","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Worth. Every. Penny.","I rated 4 stars due to the fact that I chose 1 day shipping and got it within 4 days. I understand if their was a message saying 'shipped within 2-3 days' but that wasn't the case. Overall, I love the desk. Sturdy, clean look and well built. Though, the instruction were a bit lazy written and drawn out. So, I just took a look and hoped for the best. Great replacement for my old and terrible ""studio desk"". Hahaha A must have for students, photographer, filmmaker or a writer to do work.","09 Dec 2019","Size: 39.4"" Color: Natural","https://images-na.ssl-images-amazon.com/images/I/619ffHzYseL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61u8GInjBSL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61wNf9n-lwL._SY88.jpg","Yes","Jesus Humberto Camacho","4.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Very sturdy, simple, and good looking multi propose desk","For size reference - picture is with a 27” monitor. Now I’m working from home more, I needed a desk for a larger monitor as wasn’t as productive with the a small laptop screen. This desk fits the bill perfectly and looks good too! It took me about 20 minutes to assemble by myself - all tools needed are provided and there are spares parts too. I did make one mistake putting the legs the wrong way round which only became an issue with the extra corner support bar, but we easy to remedy. Happy with the modern white color, simple design, size, and sturdiness. I did quite a bit of research before purchasing and highly recommend this for the price.","04 Jul 2020","","https://images-na.ssl-images-amazon.com/images/I/713X1CaiVUL._SY88.jpg","Yes","Lee C","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"better off with cinder blocks and a piece of plywood","never mind that delivery was delayed--TWICE.  it finally arrived today and while assembling it, the desktop split in two when HAND screwing the top to the base.  The instructions were quite clear to use the chrome screws when attaching the top to the base, not the black screws, which is what i did.  Nevertheless, I now have a worthless piece of junk that I don't dare put a paperback book on, never mind my laptop or monitor.  Thanks for stealing my money, Amazon.","12 Jun 2020","Size: 39.4"" Color: Natural","","Yes","Robert Byrd","1.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Life Saver","Had to order a last minute desk to work remotely due to the current world situation. Ordered this on Thursday and it went from an estimated delivery of Monday to Saturday! Perfect for what we needed it for.","21 Mar 2020","Size: 47.2"" Color: Black","https://images-na.ssl-images-amazon.com/images/I/71AZr8Jb0oL._SY88.jpg","Yes","Guerrero Clan","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"beautiful is all I can say","Update-so for fathers day my wife surprised me with the mount and second monitor. Boy is this desk a champ. Both monitors look so beautiful with the new desk, and it holds them perfectly. I even had to move the desk to change the placement of the desk, and was still light enough with everything to pick it up and move it without help(i only slid out one side, as i did not need to move the whole desk). I added 2 new pictures to show the new setup Me and the wife were looking for a white setup, and this desk was a perfect upgrade to my old one. Its a little shorter in depth, but a huge difference in width (my old desk was only 38inches wide). The desk has a very nice finish, and is very sturdy as well. My pc is pretty heavy, and with everything else, I have no creaks or anything. I do plan to eventually get a center support as I will be adding a second monitor and adding a duo desk mount (not big on wall mounting)","31 May 2020","","https://images-na.ssl-images-amazon.com/images/I/712-39qLOzL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/718nGM7D0aL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/7199q3RP0QL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71G6I6+inDL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71QviLyeIrL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71lSrsQmawL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71o32UN8cTL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71qVMZfbQhL._SY88.jpg","Yes","Irishmunky","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Updated review","For the price, I wasn't expecting a luxury item, but from the reviews, I figured it would be serviceable. This disappointed in every respect. I am skilled at assembling furniture and followed the directions exactly. When you twist the screws, the black paint of the legs chips off the openings. One screw hole was defective and you could not fasten the leg to the frame in one area, Attaching the frame to the desktop seemed simple enough but when flipping the desk over, all four metal anchors in the desktop fell out at once leaving four large gaping holes in the bottom of the desktop. It is now impossible to attach the frame to the desktop at all. I will return this or ask for a refund. Seems not even worth the postage of returning it. Update—I did return the desk but I am adding to my review. Foxemart customer service reached out to me soon after my review and offered to refund or send a replacement and said they will follow up with their manufacturer so my issues can be addressed. I appreciate their willingness to stand by their product and to be proactive in the replacement offer.  I turns out I had already found a different desk so I did not accept the replacement, but the customer service helped improve the over all experience quite a bit.","10 May 2020","Size: 39.4"" Color: Teak","","Yes","MLK37","3.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Small and Sturdy","Forced to work from home because of Covid 19. I suddenly had to come up with space for the computer equipment needed for my job. Not a lot, but I need 3 monitors to do my job efficiently. Space is at a huge premium in my condo. Had to find a desk would fit in my bedroom and only had about 4 feet of wall space to work with. Took a chance based on reviews and was very happy with when it arrived. Easy to put together and sturdy. It took maybe 15  minutes to assemble. My biggest worry was if it would support the mount I bought for the monitors. No problem. The mount holds nice and secure and I dont have to worry about the desk giving way and having my monitors come crashing down. Very happy with the purchase.","02 May 2020","Size: 47.2"" Color: Black","https://images-na.ssl-images-amazon.com/images/I/71oY8F34DtL._SY88.jpg","Yes","Dom","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"easy to assemble, lightweight","I like this desk. It was easy to put together with clear instructions (I particularly like that they labeled each bag of parts to make it clear which screw went in which hole). It's the right size for a single user. It has little stabilizing brackets along the back only, not in the front and back like the official photo shows.  It's very lightweight, with the tradeoff that it does wiggle if you push on it with a significant force. This is not a workbench. But for computer work or writing it's more than stable enough.","04 Dec 2019","Size: 47.2"" Color: Black","https://images-na.ssl-images-amazon.com/images/I/61FqTa8auaL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71gvDfDlSUL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81BwFkYvx3L._SY88.jpg","Yes","Alan Robinson","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great Computer Desk","This is an awesome computer desk. It was easy to put together and doesn't take up unnecessary space. Definitely large enough to fit a computer, small printer and school books. This is really going to help save some space in my home office.","12 Nov 2019","","https://images-na.ssl-images-amazon.com/images/I/71dE+YuSQtL._SY88.jpg","Yes","Rande","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great little desk. Great value.","Just what I was looking for: a smallish narrow table. It was pretty quick putting it together ( make sure you use the right screws in the right place or you’ll end up damaging the table like that fellow who gave a poor review because the screws pushed through the desktop). The top is nice to the touch too and the legs are nice and sturdy. Highly recommend.","26 Nov 2019","","","Yes","A. E. Dahan","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Worth. Every. Penny.","I rated 4 stars due to the fact that I chose 1 day shipping and got it within 4 days. I understand if their was a message saying 'shipped within 2-3 days' but that wasn't the case. Overall, I love the desk. Sturdy, clean look and well built. Though, the instruction were a bit lazy written and drawn out. So, I just took a look and hoped for the best. Great replacement for my old and terrible ""studio desk"". Hahaha A must have for students, photographer, filmmaker or a writer to do work.","09 Dec 2019","Size: 39.4"" Color: Natural","https://images-na.ssl-images-amazon.com/images/I/619ffHzYseL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61u8GInjBSL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61wNf9n-lwL._SY88.jpg","Yes","Jesus Humberto Camacho","4.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Very sturdy, simple, and good looking multi propose desk","For size reference - picture is with a 27” monitor. Now I’m working from home more, I needed a desk for a larger monitor as wasn’t as productive with the a small laptop screen. This desk fits the bill perfectly and looks good too! It took me about 20 minutes to assemble by myself - all tools needed are provided and there are spares parts too. I did make one mistake putting the legs the wrong way round which only became an issue with the extra corner support bar, but we easy to remedy. Happy with the modern white color, simple design, size, and sturdiness. I did quite a bit of research before purchasing and highly recommend this for the price.","04 Jul 2020","","https://images-na.ssl-images-amazon.com/images/I/713X1CaiVUL._SY88.jpg","Yes","Lee C","5.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"better off with cinder blocks and a piece of plywood","never mind that delivery was delayed--TWICE.  it finally arrived today and while assembling it, the desktop split in two when HAND screwing the top to the base.  The instructions were quite clear to use the chrome screws when attaching the top to the base, not the black screws, which is what i did.  Nevertheless, I now have a worthless piece of junk that I don't dare put a paperback book on, never mind my laptop or monitor.  Thanks for stealing my money, Amazon.","12 Jun 2020","Size: 39.4"" Color: Natural","","Yes","Robert Byrd","1.0","Foxemart Computer Desk 47” Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstation, Black","/Foxemart-Computer-Notebook-Writing-Workstation/product-reviews/B07ZJPCNM2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Sturdy, nice looking and fits my remote work needs perfectly","Highy recommend. I was looking for a desk as I have been working remote since March and not going back until sometime in the new year (unless I am made full time remote).  I have been working on my dining room table with a laptop only. I recently had one of my monitors sent to me from my office as I do workshop production. this was too much for the dining room table on a regular basis.  My husband found this desk, I ordered it in Rustic Brown and it took two weeks because it shipped from California (I find delays in everything coming from there). It came last Thursday 7/30.  The color/finish is beautiful, it's sturdy, holds my laptop, one large monitor, a wireless keyboard, mouse, large mousepad, room for my paperwork.  It does not have drawers but I didn't need any. It took my husband 45 minutes to assemble.  Very happy as my work set up is comfortable and clean-looking.","04 Aug 2020","","https://images-na.ssl-images-amazon.com/images/I/71m0xWa1QiL._SY88.jpg","Yes","Amazon Customer","5.0","Foxemart 47 Inch Computer Table Sturdy Office Desk, Modern PC Laptop 47” Writing Study Gaming Desk for Home Office Workstation, White and Black","/Foxemart-Computer-Sturdy-Writing-Workstation/product-reviews/B089R6JWWW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Surprisingly good quality.","I was a little nervous about the quality of this desk especially because it’s on the cheaper side, but it’s everything I hoped it would be. The wood “finish” is beautiful. It’s lightweight, easy to put together, and fits how I wanted it to perfectly. I like that it’s more simplistic and industrial looking. It took maybe 10 mins top to put together. Instructions are lacking so don’t count on those but you really don’t need them anyway. It honestly looks better than the picture in my opinion. We did have issues with shipping (but that’s on UPS, not amazon even though amazon was quick to fix the problem, so we got it a week late). With that being said if you’re looking for a writing area or laptop desk, this one is definitely worth the money.","07 Jul 2020","What's this?","https://images-na.ssl-images-amazon.com/images/I/71BuQsCzxzL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71kR5d2JjLL._SY88.jpg","Yes","Brandon Williams","5.0","Foxemart 47 Inch Computer Table Sturdy Office Desk, Modern PC Laptop 47” Writing Study Gaming Desk for Home Office Workstation, White and Black","/Foxemart-Computer-Sturdy-Writing-Workstation/product-reviews/B089R6JWWW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
